
----------------------------------
Learning...
244: cost=0.027501, w1=0.759308, w2=0.127926
245: cost=0.027298, w1=0.760199, w2=0.127453
246: cost=0.027096, w1=0.761087, w2=0.126981
247: cost=0.026896, w1=0.761971, w2=0.126511
248: cost=0.026697, w1=0.762852, w2=0.126042
249: cost=0.026500, w1=0.763730, w2=0.125576
250: cost=0.026304, w1=0.764604, w2=0.125111
251: cost=0.026109, w1=0.765476, w2=0.124648
252: cost=0.025917, w1=0.766344, w2=0.124187
253: cost=0.025725, w1=0.767209, w2=0.123727
254: cost=0.025535, w1=0.768070, w2=0.123269
255: cost=0.025346, w1=0.768929, w2=0.122813
256: cost=0.025159, w1=0.769784, w2=0.122358
257: cost=0.024973, w1=0.770636, w2=0.121905
258: cost=0.024789, w1=0.771485, w2=0.121454
259: cost=0.024605, w1=0.772331, w2=0.121005
260: cost=0.024424, w1=0.773174, w2=0.120557
261: cost=0.024243, w1=0.774013, w2=0.120110
262: cost=0.024064, w1=0.774850, w2=0.119666
263: cost=0.023886, w1=0.775683, w2=0.119223
264: cost=0.023710, w1=0.776513, w2=0.118782
265: cost=0.023534, w1=0.777341, w2=0.118342
266: cost=0.023361, w1=0.778165, w2=0.117904
267: cost=0.023188, w1=0.778986, w2=0.117467
268: cost=0.023017, w1=0.779804, w2=0.117033
269: cost=0.022847, w1=0.780619, w2=0.116599
270: cost=0.022678, w1=0.781431, w2=0.116168
271: cost=0.022510, w1=0.782240, w2=0.115738
272: cost=0.022344, w1=0.783046, w2=0.115310
273: cost=0.022179, w1=0.783849, w2=0.114883
274: cost=0.022015, w1=0.784649, w2=0.114457
275: cost=0.021852, w1=0.785446, w2=0.114034
276: cost=0.021691, w1=0.786240, w2=0.113612
277: cost=0.021530, w1=0.787032, w2=0.113191
278: cost=0.021371, w1=0.787820, w2=0.112772
279: cost=0.021213, w1=0.788605, w2=0.112355
280: cost=0.021057, w1=0.789388, w2=0.111939
281: cost=0.020901, w1=0.790167, w2=0.111525
282: cost=0.020747, w1=0.790944, w2=0.111112
283: cost=0.020593, w1=0.791718, w2=0.110701
284: cost=0.020441, w1=0.792489, w2=0.110291
285: cost=0.020290, w1=0.793257, w2=0.109883
286: cost=0.020140, w1=0.794022, w2=0.109476
287: cost=0.019991, w1=0.794784, w2=0.109071
288: cost=0.019844, w1=0.795544, w2=0.108667
289: cost=0.019697, w1=0.796301, w2=0.108265
290: cost=0.019551, w1=0.797055, w2=0.107864
291: cost=0.019407, w1=0.797806, w2=0.107465
292: cost=0.019264, w1=0.798554, w2=0.107067
293: cost=0.019121, w1=0.799300, w2=0.106671
294: cost=0.018980, w1=0.800043, w2=0.106276
295: cost=0.018840, w1=0.800783, w2=0.105882
296: cost=0.018701, w1=0.801520, w2=0.105490
297: cost=0.018562, w1=0.802255, w2=0.105100
